@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature3 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

1,4,-0.046057,4.007411,0.593056,0
2,10,-0.440688,4.479066,1.096208,0
3,12,0.092127,4.476359,1.521072,2
4,3,0.906286,2.234771,1.749083,2
5,16,0.283345,5.282326,1.28189,1
1,2,-0.032875,4.185434,0.909244,0
2,8,-0.151472,3.717095,0.987197,0
3,12,0.170735,3.710519,1.339564,0
4,2,-0.28529,3.489355,0.914993,0
5,8,0.040973,3.744269,0.779692,0
1,2,-0.142526,3.201368,0.784735,0
2,8,-0.013152,3.451455,0.812881,0
3,5,-0.261522,3.226075,1.072207,0
4,2,0.75245,3.406319,0.896761,0
5,7,0.016583,3.373647,1.052324,0
1,2,-0.453439,4.374485,1.173007,0
2,10,0.063536,4.249956,1.661592,0
3,5,-0.189698,4.079849,0.59309,0
4,2,1.285321,2.899975,1.265949,0
5,7,-0.20941,7.094787,0.942924,1
1,2,0.080034,4.948661,1.282771,1
2,12,-0.160537,4.073898,1.645837,0
3,8,-0.205644,2.717923,1.383387,1
4,2,1.340593,2.743845,0.943479,0
5,7,0.121952,5.802987,0.963414,0
1,2,-0.163256,4.538522,0.82733,0
2,8,-0.006814,3.969727,1.164817,0
3,12,0.109875,4.502463,1.404972,1
4,2,0.89193,2.593907,1.139468,0
5,7,-0.155943,4.498704,0.915487,0
1,2,0.011422,4.491303,0.978052,0
2,12,-0.37783,3.764708,1.260106,0
3,8,0.353406,4.198062,1.837975,1
4,2,1.197869,2.095023,0.951456,0
5,7,0.084986,2.574422,0.918265,0
1,2,-0.232815,4.094864,1.259835,2
2,8,-0.255808,4.251957,1.427561,2
3,7,0.127097,4.352923,1.204332,2
4,2,0.854873,2.638,0.995895,0
5,7,0.009956,4.445478,1.001965,0
1,2,0.03638,4.433939,1.154986,2
2,11,-0.00104,5.38112,1.471013,1
3,9,-0.60243,3.762812,0.992736,1
4,2,1.09728,2.927803,0.750909,0
5,6,0.154677,4.589115,0.985642,0
1,3,0.175963,4.827151,1.621895,1
2,8,-0.008638,4.05231,0.920368,0
3,6,0.024367,4.063057,1.00827,0
4,2,0.287437,4.036506,0.976524,0
5,7,-0.123072,3.97339,0.874853,0
1,2,0.013547,4.870147,1.59732,0
2,8,-0.056102,4.162634,0.889367,0
3,3,0.307867,3.268091,0.728486,0
4,1,-0.23608,2.913419,1.031218,0
5,7,0.008568,4.193045,0.892565,0
1,2,0.077831,3.901367,1.156624,0
2,14,-0.292841,3.400645,1.244605,0
3,4,0.309557,3.462795,0.700524,0
4,2,0.992999,3.147476,0.987919,0
5,6,0.148549,3.393658,0.856793,0
1,2,0.268802,4.657121,0.935456,0
2,8,0.073706,4.515958,1.0121,0
3,7,-0.551595,3.946242,1.011868,0
4,2,1.116552,2.248583,1.028939,0
5,7,-0.001155,3.992876,1.165891,0
1,2,-0.060947,5.127048,1.117305,0
2,8,-0.104149,3.657304,0.7181,0
3,12,0.103884,4.301709,1.663989,2
4,2,1.256537,2.805388,1.012987,0
5,7,-0.193745,4.546815,0.865475,0
1,2,-0.127271,5.909694,1.048497,0
2,10,0.052281,4.665842,1.219703,0
3,9,0.065075,3.57853,1.788919,1
4,2,1.726038,4.217083,1.016405,0
5,7,0.349758,5.32793,1.053365,0
1,2,-0.282519,4.445331,1.076348,0
2,8,-0.195382,5.047678,0.981353,1
3,10,-0.149205,3.350088,1.6877,2
4,2,0.32809,2.916137,0.945758,0
5,7,-0.009528,4.917948,1.162418,0
1,2,-0.277818,3.406422,1.3696,1
2,8,-0.36116,3.649491,0.789758,0
3,7,-0.361721,4.131687,1.308331,1
4,2,0.665858,4.009388,1.0278,0
5,7,0.004748,3.817433,0.842553,1
1,2,0.042799,3.68073,0.98952,0
2,10,0.057469,3.258206,2.004633,0
3,5,-0.403206,2.917086,0.71197,0
4,2,0.62472,3.016237,1.084773,0
5,7,-0.019634,4.000689,1.140538,0
1,2,0.071029,3.670158,0.909244,0
2,8,-0.091109,3.442497,0.871834,0
