@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

2,10,1.09076,0
3,12,1.533809,2
5,16,1.268276,1
1,2,0.910126,0
2,8,0.982291,0
3,12,1.350781,0
4,2,0.916318,0
5,8,0.771411,0
2,8,0.808841,0
3,5,1.081186,0
5,7,0.93291,1
3,8,1.394972,1
5,7,0.953183,0
1,2,0.828133,0
2,8,1.159027,0
3,12,1.416737,1
5,7,0.905764,0
3,8,1.853367,1
1,2,1.261058,2
2,8,1.420465,2
3,7,1.214417,2
5,7,0.991324,0
2,11,1.463701,1
3,9,1.001049,1
5,6,0.975174,0
2,8,0.915793,0
3,6,1.016713,0
4,2,0.977938,0
1,2,1.157746,0
2,14,1.238419,0
5,6,0.847693,0
1,2,0.936364,0
2,8,1.007069,0
3,7,1.020341,0
3,12,1.677923,2
3,9,1.8039,1
4,2,1.017878,0
5,7,1.042179,0
1,2,1.077393,0
2,8,0.976475,1
3,10,1.701833,2
4,2,0.947128,0
5,7,1.150073,0
1,2,1.370929,1
2,8,0.785832,0
3,7,1.319287,1
4,2,1.029289,0
5,7,0.833605,1
2,10,1.994669,0
3,5,0.717932,0
4,2,1.086345,0
5,7,1.128425,0
1,2,0.910126,0
3,7,1.068489,0
4,1,0.916318,0
5,7,0.948716,0
1,2,0.99212,0
2,8,0.701889,0
3,2,0.694518,0
2,8,0.938802,0
3,18,1.941088,1
5,10,2.050339,2
1,2,0.910126,0
2,8,0.851824,0
3,8,0.749921,0
4,2,0.995055,0
5,7,1.135985,0
1,2,0.793696,0
2,8,1.264209,0
1,2,0.847811,0
2,8,1.03387,0
3,3,0.816042,0
4,2,1.176493,0
5,7,1.001976,0
1,2,1.705462,2
2,8,0.646264,0
3,5,0.887604,0
4,2,0.895778,0
1,2,0.705143,0
2,8,0.685201,0
3,7,1.037325,0
4,2,0.974515,0
2,9,0.966614,1
3,5,0.937236,1
4,2,1.027006,0
5,7,0.813676,0
1,2,1.006878,0
2,8,0.7474,0
3,2,0.570026,0
4,2,0.996196,0
5,8,0.928786,0
2,8,0.969143,1
3,6,0.990166,2
2,10,1.049294,1
3,7,1.198587,0
1,2,0.967522,0
2,8,1.223502,0
3,7,1.334787,2
5,7,0.976205,0
1,2,0.877329,0
1,2,0.878969,0
3,7,0.742996,0
4,2,1.063522,0
5,7,0.78172,0
2,8,1.3168,0
2,8,0.913012,0
3,9,1.03683,0
5,7,0.972081,0
3,5,0.885461,0
5,7,0.878619,0
1,2,0.98556,0
2,8,0.777994,0
3,8,1.04392,0
1,2,1.067553,0
3,7,0.849844,0
2,8,0.848284,1
3,8,1.559367,2
4,3,1.088627,0
1,2,1.295495,0
2,8,0.607073,0
3,8,0.763937,0
5,7,0.910918,0
1,2,1.589031,1
2,8,0.714278,0
3,6,0.827749,0
1,2,0.965882,0
2,13,1.319582,0
3,7,0.870456,0
4,2,1.233549,0
5,7,1.028778,0
1,2,1.374209,1
2,11,1.036652,0
3,5,0.660715,0
4,2,1.057817,0
5,7,0.934628,0
1,2,0.98884,0
2,8,0.868006,0
3,5,0.78158,0
1,2,0.954403,0
2,8,0.675341,0
3,8,0.70672,0
5,7,1.102654,0
1,2,0.947843,0
2,8,0.651321,0
3,7,1.081186,0
5,7,0.926037,0
2,8,0.792406,0
5,7,0.988918,1
1,2,0.86421,0
2,12,1.396698,0
3,10,1.253826,1
5,9,1.333562,1
1,2,0.878969,0
2,8,0.735264,0
3,2,0.577116,0
1,2,0.949483,0
2,8,0.916046,0
3,7,0.892386,1
4,2,0.912895,0
5,7,0.88446,0
3,5,1.162476,0
4,2,1.080639,0
2,8,1.132479,0
3,4,0.756517,0
4,2,0.934576,0
5,7,0.963835,0
2,8,0.859915,0
1,2,0.844531,0
2,8,0.683431,0
5,7,0.951121,1
2,8,0.769145,0
3,3,0.700454,0
4,2,0.982503,0
5,7,1.193368,0
1,2,0.811734,0
2,8,1.076853,0
3,5,0.639774,0
4,2,1.007607,0
5,7,0.853535,0
5,7,0.939782,2
2,10,1.273059,0
3,7,1.063707,0
5,7,1.02706,0
3,6,0.944821,0
2,8,0.882924,0
3,4,1.233874,1
4,2,0.848992,0
5,7,0.978954,0
1,2,0.897007,0
2,8,0.74917,0
3,7,0.851658,0
4,2,0.923165,0
1,2,0.826493,0
2,8,0.671548,0
3,3,0.581238,0
4,2,0.998479,0
5,7,1.097157,1
1,2,1.000319,0
2,9,0.931975,1
3,5,0.798069,0
5,8,2.072331,0
2,10,1.267749,0
3,5,0.898487,1
2,8,0.682673,0
3,4,0.615371,0
5,7,0.898205,0
2,8,0.99114,2
3,8,1.308569,2
4,2,1.089768,0
5,7,1.000945,2
2,8,0.907702,0
3,7,0.988023,1
5,7,0.866249,1
