@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature33 numeric
@attribute bi_feature10 numeric
@attribute bi_feature316 numeric
@attribute bi_feature735 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.027778,0,0,0,0,0,0,0,0.331745,0.351086,0.410187,0
0,0.00232,0,0,0,0,0,0,0,0.482989,0.523432,0.612526,0
0.003226,0.008602,0,0,0.001076,0,0,0,0,0.720605,0.779931,0.922685,2
0,0.006536,0,0,0,0,0,0,0,0.700456,0.753976,0.891070,2
0.00271,0.02439,0,0,0,0.002717,0.005435,0,0,0.412015,0.437165,0.509948,1
0,0.018182,0,0,0,0,0,0,0,0.298825,0.316637,0.362719,0
0,0.005155,0,0,0.002584,0,0.002584,0,0,0.464815,0.499536,0.584327,0
0.007326,0.014652,0,0,0.002445,0.003667,0.00489,0,0,0.613676,0.662622,0.781670,0
0,0,0,0,0,0,0,0,0,0.508584,0.545307,0.636515,0
0,0.008929,0,0,0,0,0,0,0,0.218548,0.222409,0.245220,0
0,0,0,0,0,0,0,0,0,0.340840,0.362024,0.413198,0
0,0.015674,0,0,0.003145,0,0.006289,0,0,0.472562,0.506735,0.591488,0
0,0.007634,0,0,0.001529,0.004587,0.001529,0,0,0.756557,0.819087,0.969041,0
0,0.051282,0,0,0.012987,0.012987,0.012987,0,0,0.565136,0.607128,0.712655,0
0,0.016556,0,0,0,0.003322,0.003322,0,0,0.343249,0.362103,0.413314,0
0,0,0,0,0,0,0,0,0,0.529213,0.569294,0.663913,0
0,0.01072,0,0,0.003067,0,0.003067,0,0,0.559081,0.600470,0.707446,0
0,0.005525,0,0,0.00277,0.00277,0.00277,0,0,0.687733,0.743248,0.878384,0
0,0.018018,0,0,0,0.009091,0.009091,0,0,0.632869,0.676258,0.796190,0
0,0.02583,0,0,0.003704,0.007407,0.007407,0,0,0.239432,0.244761,0.270743,1
0,0,0,0,0,0,0,0,0,0.475257,0.505593,0.593153,1
0,0.006182,0,0,0.003096,0.003096,0.001548,0,0,0.532932,0.573395,0.674440,0
0,0.001183,0,0,0,0,0,0,0,0.692890,0.749959,0.885607,1
0,0.04878,0,0,0.012346,0.012346,0.024691,0,0,0.589541,0.626598,0.738020,0
0,0.025271,0,0,0.007246,0.01087,0.007246,0,0,0.232815,0.232949,0.255736,0
0,0,0,0,0,0,0,0,0,0.207816,0.216329,0.239108,0
0,0.004367,0,0,0,0.002188,0,0,0,0.561757,0.604895,0.712088,0
0,0.001164,0,0,0,0.001166,0,0.001166,0,0.673828,0.727921,0.858682,1
0,0.020202,0,0,0,0,0,0,0,0.610907,0.655950,0.771008,0
0,0.026616,0,0,0,0.003817,0.01145,0,0,0.287365,0.297313,0.335257,0
0,0.033898,0,0,0,0,0.017241,0,0,0.424520,0.452301,0.531496,0
0,0.026263,0,0,0.006073,0.006073,0.008097,0,0,0.483449,0.517374,0.605220,0
0.002671,0.012467,0,0,0.000891,0.001783,0.004456,0,0,0.731743,0.791823,0.936428,1
0,0.048193,0,0,0,0.012195,0.02439,0,0,0.613877,0.652875,0.768902,0
0,0.003788,0,0,0,0,0,0,0,0.272450,0.280375,0.319775,0
0,0,0,0,0,0,0,0,0,0.048023,0.055097,0.042903,2
0,0.005348,0,0,0,0.001786,0,0,0,0.313542,0.337398,0.393445,2
0,0.001359,0,0,0,0.001361,0,0,0,0.697822,0.754337,0.891599,2
0,0.022989,0,0,0,0,0,0,0,0.509373,0.539198,0.631857,0
0,0.010417,0,0,0.003484,0.003484,0,0,0,0.245689,0.246346,0.271167,0
0,0.014286,0,0,0,0,0,0,0,0.432332,0.459692,0.536647,2
0,0.00692,0,0,0.001733,0.003466,0.001733,0,0,0.503493,0.541835,0.637011,1
0,0,0,0,0,0,0,0,0,0.667923,0.722630,0.852664,1
