@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.023474,0.061033,0,0,0.014151,0.023585,0,0.057608,0.058469,0.051271,1
0.045952,0.06674,0,0,0.004381,0.01862,0,0.297475,0.317219,0.351947,0
0.05807,0.005944,0,0,0.002745,0.007319,0,0.509558,0.545401,0.624956,0
0.030418,0.060837,0,0,0.007634,0.022901,0,0.409781,0.434561,0.493702,0
0,0.10962,0,0,0.029115,0.051512,0,0.309885,0.317327,0.352710,0
0,0.105023,0,0,0.027523,0.018349,0,0.552284,0.579955,0.666329,0
0,0.085619,0,0,0.009983,0.021631,0,0.621987,0.657101,0.754657,0
0.004773,0.025776,0,0,0.004776,0.003343,0,0.773806,0.824276,0.952194,0
0,0.076642,0,0,0.014652,0.007326,0,0.643841,0.679176,0.782985,0
0.011677,0.117834,0,0,0.022317,0.058448,0,0.260421,0.264949,0.289464,0
0,0.102151,0,0,0.021622,0.010811,0,0.454760,0.472291,0.539841,1
0,0.030023,0,0,0.006936,0.075145,0,0.406114,0.426105,0.479054,0
0.005031,0.022918,0,0,0.003915,0.002796,0,0.799562,0.852261,0.984952,0
0,0.119522,0,0,0.02,0.004,0,0.554833,0.581528,0.667068,0
0.002347,0.156103,0,0,0.019976,0.06228,0,0.294747,0.300412,0.335721,0
0,0.085,0,0,0.015075,0.015075,0,0.432063,0.453216,0.518865,0
0,0.113171,0,0,0.003906,0.016602,0,0.499764,0.523280,0.600702,0
0.005213,0.017062,0,0,0.00569,0.004267,0,0.789377,0.842185,0.972999,0
0,0.138973,0,0,0.018182,0.00303,0,0.668062,0.704145,0.812025,0
0,0.028019,0,0,0.010638,0.101547,0,0.314724,0.327542,0.362386,0
0,0.078704,0,0,0.009302,0.04186,0,0.389939,0.408318,0.464118,0
0,0.098843,0,0,0.009474,0.024211,0,0.503105,0.527042,0.603386,0
0.002912,0.012231,0,0,0.003497,0.006993,0,0.827702,0.883029,1.020921,0
0,0.13355,0,0,0.019608,0.006536,0,0.639306,0.673541,0.776834,0
0,0.07394,0,0,0.01444,0.06769,0,0.309009,0.319125,0.356257,0
0,0.049383,0,0,0.006211,0.055901,0,0.392490,0.410591,0.462497,0
0,0.06619,0,0,0.004476,0.021486,0,0.552785,0.584297,0.669353,1
0.017449,0.011421,0,0,0.002856,0.005078,0,0.745240,0.795555,0.918768,2
0,0.069401,0,0,0.018987,0.018987,0,0.573299,0.606469,0.696791,0
0,0.096296,0,0,0.026483,0.061441,0,0.304281,0.312270,0.350221,1
0.003802,0.087452,0,0,0.015267,0.007634,0,0.520283,0.547536,0.626383,0
0.00625,0.11875,0,0,0.002503,0.026283,0,0.458245,0.479092,0.546434,0
0.016839,0.016192,0,0,0.005185,0.005185,0,0.651681,0.694803,0.799919,0
0,0.127413,0,0,0.01938,0.011628,0,0.601524,0.633021,0.729272,0
0.007928,0.075878,0,0,0.017007,0.064626,0,0.200466,0.206806,0.221784,0
0,0.096273,0,0,0.021807,0.012461,0,0.576318,0.605957,0.696167,1
0,0.1339,0,0,0.008511,0.017021,0,0.470139,0.490633,0.561450,0
0.001793,0.016139,0,0,0.005981,0.001794,0,0.797691,0.851113,0.981758,0
0,0.145897,0,0,0.018293,0.003049,0,0.649416,0.683353,0.788039,0
0,0.091434,0,0,0.012524,0.058767,0,0.293059,0.301578,0.337073,0
0.010204,0.081633,0,0,0.020513,0.046154,0,0.275620,0.285302,0.319373,0
0.007476,0.086256,0,0,0.004603,0.018987,0,0.434313,0.457613,0.521059,0
0.019898,0.014213,0,0,0.002844,0.010808,0,0.658628,0.702752,0.809281,0
0,0.183333,0,0,0.027855,0,0,0.594554,0.623592,0.718011,0
0.012036,0.051153,0,0,0.014056,0.052209,0,0.259767,0.270938,0.297799,0
0.039427,0.043011,0,0,0.014388,0.003597,0,0.357745,0.378765,0.428621,1
0.061493,0.032211,0,0,0.003663,0.008059,0,0.222499,0.239821,0.263286,0
0.048689,0.01573,0,0,0.005997,0.002999,0,0.478842,0.511521,0.584608,0
0.097403,0.090909,0,0,0.016287,0.003257,0,0.387201,0.407766,0.463266,0
0,0.060706,0,0,0.01768,0.099448,0,0.239681,0.243848,0.265595,0
0,0.085,0,0,0.040201,0.025126,0,0.410841,0.428939,0.487610,0
0.020979,0.035839,0,0,0.004374,0.019248,0,0.488461,0.517334,0.590648,0
0.015199,0.017733,0,0,0.002535,0.000634,0,0.782812,0.834986,0.965178,0
0,0.169435,0,0,0.02,0,0,0.624239,0.655871,0.756265,0
0,0.087666,0,0,0.017347,0.089796,0,0.338959,0.350878,0.394873,0
0,0.11399,0,0,0.036458,0.03125,0,0.370406,0.385056,0.437236,0
0.008989,0.122472,0,0,0.004499,0.033746,0,0.479146,0.501607,0.573871,0
0,0.022059,0,0,0.005977,0.004138,0,0.802281,0.854513,0.987531,1
0,0.145695,0,0,0.013289,0.003322,0,0.640634,0.674650,0.777705,0
0,0.04626,0,0,0.013793,0.063054,0,0.349225,0.363352,0.408874,0
0,0.148325,0,0,0.028846,0,0,0.474462,0.492303,0.560674,0
0,0.105473,0,0,0.00498,0.028884,0,0.576530,0.606778,0.695526,0
0.002101,0.02381,0,0,0.005606,0.002102,0,0.781996,0.832773,0.961392,0
0,0.153846,0,0,0.026846,0,0,0.610905,0.640484,0.738115,0
0,0.131929,0,0,0.024417,0.067703,0,0.245262,0.247975,0.267833,0
0,0.166667,0,0,0.017964,0.041916,0,0.361232,0.372193,0.421965,0
0,0.059774,0,0,0.003636,0.01899,0,0.698855,0.740995,0.854281,2
0,0.012573,0,0,0.00387,0.006773,0,0.822224,0.876518,1.013110,1
0,0.141176,0,0,0.023599,0.0059,0,0.656670,0.691115,0.796359,0
0,0.070159,0,0,0.018727,0.070225,0,0.313008,0.325559,0.360942,0
0.020833,0.182292,0,0,0.020942,0.020942,0,0.168409,0.167366,0.180954,0
0.004662,0.125874,0,0,0.007001,0.010502,0,0.426297,0.444542,0.507826,0
0.017849,0.010984,0,0,0.002747,0.005952,0,0.792366,0.845257,0.976547,0
0,0.140523,0,0,0.022951,0.003279,0,0.635823,0.668846,0.771359,0
0,0.103563,0,0,0.023411,0.061315,0,0.251085,0.255659,0.279417,0
0,0.253521,0,0,0.021277,0.014184,0,0.276391,0.276221,0.307433,1
0.010536,0.10728,0,0,0.005753,0.020134,0,0.415653,0.435710,0.496225,0
0,0.042305,0,0,0.009489,0.00146,0,0.767235,0.815464,0.941710,0
0,0.047297,0,0,0.00678,0.00339,0,0.625485,0.660587,0.760363,0
0,0.076121,0,0,0.016701,0.055324,0,0.333480,0.346135,0.387577,1
0.062857,0.051429,0,0,0.011494,0.045977,0,0.233907,0.245691,0.269738,0
0.019555,0.065725,0,0,0.008152,0.022826,0,0.626567,0.664563,0.762974,0
0.020916,0.011839,0.000395,0,0.003158,0.004737,0,0.676421,0.721885,0.831629,1
0,0.070896,0,0,0.022472,0,0,0.613256,0.646371,0.744738,0
0.005414,0.071926,0,0,0.01548,0.065015,0,0.272342,0.284057,0.314740,1
0.02809,0.106742,0,0,0.039548,0.011299,0,0.321081,0.327666,0.371246,0
0.016512,0.112487,0,0,0.005165,0.028926,0,0.478207,0.502358,0.571318,0
0.003431,0.011149,0,0,0.002575,0.002575,0,0.838459,0.895230,1.035307,0
0,0.184669,0,0,0.020979,0,0,0.638852,0.670486,0.772754,0
0,0.099788,0,0,0.018066,0.059511,0,0.326226,0.336591,0.372265,0
0.088542,0.036458,0,0,0.010471,0.015707,0,0.216412,0.225801,0.244107,0
0.043082,0.067937,0,0,0.004146,0.005804,0,0.283619,0.301248,0.335984,0
0.046034,0.024404,0,0,0.003885,0.004994,0,0.621970,0.662952,0.762975,1
0,0.116541,0,0,0.022642,0.007547,0,0.530643,0.555387,0.638337,0
0.017503,0.063011,0,0,0.021028,0.068925,0,0.177557,0.183349,0.195282,0
0,0.181373,0,0,0.019704,0.019704,0,0.453021,0.468849,0.537439,0
0,0.058164,0,0,0.004909,0.014727,0,0.638447,0.675768,0.777804,0
0.027246,0.015751,0,0,0.002981,0.004259,0,0.694364,0.741895,0.855149,0
0.019048,0.190476,0,0,0.025478,0.003185,0,0.521115,0.544899,0.626284,0
0,0.072437,0,0,0.018832,0.080038,0,0.280458,0.289015,0.314938,0
0,0.137931,0,0,0.028902,0,0,0.342894,0.351895,0.397434,0
0.002011,0.042225,0,0,0.004024,0.014085,0,0.612240,0.650163,0.746455,0
0,0.01308,0,0,0.004581,0.005236,0,0.813564,0.868052,1.002752,0
0,0.176471,0,0,0.02214,0.00369,0,0.563030,0.591213,0.678312,0
0.031049,0.066381,0,0,0.021436,0.063237,0,0.207195,0.213570,0.230001,0
0,0.104603,0,0,0.02521,0.042017,0,0.473909,0.494737,0.566290,0
0.009709,0.099735,0,0,0.004417,0.027385,0,0.492206,0.517828,0.591581,0
0,0.020111,0,0,0.006036,0.002515,0,0.822100,0.875829,1.012876,0
0,0.181818,0,0,0.018248,0,0,0.596596,0.624509,0.719830,0
0,0.065652,0,0,0.018095,0.088571,0,0.322763,0.334712,0.370016,0
0.011696,0.046784,0,0,0,0.029412,0,0.147586,0.153178,0.162707,0
0.008889,0.095556,0,0,0.008899,0.026696,0,0.399694,0.418233,0.472901,0
0,0.025781,0,0,0.0086,0.000782,0,0.795161,0.846439,0.977952,0
0,0.220532,0,0,0.026718,0,0,0.578605,0.603403,0.695326,0
0.027115,0.105206,0,0,0.021716,0.04126,0,0.156067,0.158277,0.165614,1
0,0.142857,0,0,0.01105,0.022099,0,0.405597,0.419731,0.476643,0
0,0.097933,0,0,0.005447,0.022876,0,0.531408,0.558832,0.640410,0
0,0.013803,0,0,0.005525,0.004834,0,0.832000,0.887055,1.026135,1
0,0.043321,0,0,0.014493,0.007246,0,0.643459,0.681038,0.784342,0
0,0.072009,0,0,0.019767,0.069767,0,0.269962,0.276359,0.304878,0
0,0.267974,0,0,0.065789,0,0,0.320336,0.319059,0.361907,0
0.019743,0.115499,0,0,0.002964,0.025692,0,0.505831,0.530798,0.607217,0
0.009187,0.010601,0,0,0.002829,0.000707,0,0.778802,0.831519,0.960935,0
0.003497,0.104895,0,0,0.014035,0,0,0.465898,0.491465,0.561957,0
0.020743,0.045808,0,0,0.012111,0.053633,0,0.246360,0.256769,0.281299,0
0,0.140244,0,0,0.01227,0.03681,0,0.183184,0.181948,0.195441,0
0.002819,0.086681,0,0,0.004231,0.016925,0,0.616614,0.651868,0.748437,0
0,0.006961,0,0,0.001548,0.004644,0,0.793180,0.846269,0.977494,0
0.068027,0.129252,0,0,0.020478,0.003413,0,0.398370,0.416784,0.476526,0
0.01451,0.108827,0,0,0.016949,0.039952,0,0.263937,0.271554,0.296964,0
0,0.087336,0,0,0.017544,0.017544,0,0.493588,0.518569,0.590459,1
0,0.052817,0,0,0.004696,0.004696,0,0.772186,0.820865,0.947730,2
0,0.023699,0,0,0.003719,0.004649,0,0.837555,0.892970,1.032614,2
0,0.161172,0,0,0.036765,0,0,0.555692,0.580828,0.668035,0
0,0.088913,0,0,0.021978,0.048352,0,0.307428,0.317233,0.353916,2
0,0.281768,0,0,0.038889,0,0,0.404873,0.410158,0.468219,0
0,0.060191,0,0,0.006559,0.0161,0,0.635589,0.673909,0.775751,0
0.008372,0.01907,0,0,0.005119,0.002792,0,0.776050,0.827384,0.956339,0
0,0.131086,0,0,0.022556,0.011278,0,0.615735,0.647273,0.745655,0
0,0.069277,0,0,0.01809,0.070352,0,0.278253,0.286362,0.314801,0
0,0.306358,0,0,0.02907,0.005814,0,0.473870,0.485635,0.557262,0
0,0.049734,0,0,0.007111,0.020444,0,0.559729,0.591172,0.675255,0
0.001048,0.014144,0,0,0.003145,0.004717,0,0.770707,0.821942,0.947492,0
0,0.117216,0,0,0.029412,0.003676,0,0.637904,0.672037,0.773938,0
0,0.109905,0,0,0.02038,0.054348,0,0.253189,0.256551,0.279289,0
0,0.106599,0,0,0.020408,0.030612,0,0.405811,0.422360,0.477969,0
0.007739,0.095443,0,0,0.004303,0.012048,0,0.465707,0.489952,0.557027,0
0.031676,0.00842,0.000802,0,0.002808,0.002006,0,0.787292,0.840806,0.971810,1
0.064777,0.125506,0,0,0.01626,0.00813,0,0.267673,0.279191,0.313978,0
0,0.100105,0,0,0.022152,0.052743,0,0.283432,0.291556,0.322061,0
0.038462,0,0,0,0,0,0,0.040866,0.053796,0.040392,0
0.01925,0,0,0,0,0,0,0.037195,0.049514,0.036106,0
0.076119,0,0,0,0,0,0,0.022809,0.030208,0.019619,0
0.04461,0,0,0,0,0,0,0.031868,0.041119,0.030693,0
