@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.274,0.532,0.194,0.644,0.255,0
0.185,0.456,0.359,0.28,0.542,1
0.019,0.831,0.15,0.499,0.453,2
0.194,0.592,0.214,0.656,0.276,1
0.08,0.835,0.085,0.037,0.749,0
0.273,0.677,0.051,0.72,0.128,0
0.159,0.302,0.539,0.056,0.556,0
0.064,0.017,0.919,0.203,0.381,2
0.368,0.559,0.073,0.067,0.859,0
0.273,0.687,0.04,0.392,0.456,0
0.154,0.757,0.089,0.776,0.196,0
0.842,0.121,0.037,0.918,0.074,0
0.865,0.017,0.117,0.556,0.264,0
0.606,0.327,0.067,0.739,0.237,0
0.067,0.091,0.842,0.235,0.571,0
0.011,0.79,0.198,0.484,0.401,1
0.6,0.169,0.23,0.89,0.106,0
0.083,0.733,0.184,0.039,0.856,1
0.727,0.062,0.211,0.648,0.321,0
0.051,0.72,0.229,0.13,0.721,1
0.428,0.497,0.075,0.044,0.929,0
0.177,0.724,0.099,0.032,0.847,0
0.796,0.065,0.139,0.49,0.463,0
0.603,0.131,0.266,0.874,0.042,0
0.095,0.774,0.131,0.449,0.389,0
0.443,0.411,0.146,0.54,0.343,0
0.6,0.257,0.143,0.408,0.385,0
0.585,0.263,0.151,0.621,0.351,0
0.049,0.517,0.434,0.786,0.208,0
0.834,0.013,0.153,0.55,0.432,0
0.391,0.479,0.13,0.488,0.373,0
0.021,0.587,0.392,0.526,0.332,0
0.181,0.719,0.1,0.771,0.176,0
0.234,0.316,0.449,0.375,0.526,1
0.012,0.739,0.249,0.05,0.421,2
0.463,0.231,0.307,0.643,0.247,0
0.022,0.487,0.491,0.656,0.233,0
0.791,0.095,0.114,0.839,0.155,0
0.414,0.543,0.043,0.322,0.612,0
0.101,0.837,0.061,0.035,0.92,0
0.008,0.53,0.462,0.279,0.633,1
0.806,0.057,0.137,0.931,0.065,0
0.168,0.699,0.132,0.616,0.31,0
0.172,0.657,0.171,0.511,0.459,0
0.002,0.552,0.446,0.039,0.852,0
0.197,0.699,0.104,0.199,0.706,0
0.798,0.019,0.183,0.492,0.432,0
0.113,0.771,0.117,0.099,0.786,0
0.054,0.691,0.255,0.709,0.276,0
0.231,0.481,0.288,0.412,0.428,0
0.499,0.461,0.04,0.365,0.586,0
0.026,0.847,0.127,0.589,0.377,0
0.728,0.112,0.16,0.813,0.146,0
0.766,0.22,0.014,0.909,0.081,0
0.085,0.878,0.037,0.227,0.504,0
0.099,0.571,0.331,0.693,0.275,0
0.403,0.212,0.386,0.709,0.2,0
0.081,0.834,0.085,0.632,0.264,0
0.323,0.647,0.03,0.537,0.364,0
0.35,0.392,0.258,0.204,0.683,0
0.382,0.575,0.043,0.427,0.518,1
0.106,0.822,0.073,0.574,0.386,0
0.018,0.338,0.644,0.094,0.538,0
0.025,0.82,0.155,0.015,0.785,1
0.078,0.781,0.141,0.077,0.678,1
0.178,0.791,0.031,0.923,0.075,0
0.934,0.031,0.034,0.734,0.214,0
0.821,0.168,0.011,0.921,0.056,0
0.013,0.918,0.07,0.621,0.244,0
0.127,0.794,0.079,0.003,0.976,0
0.036,0.869,0.095,0.22,0.644,1
0.957,0.02,0.023,0.841,0.149,0
0.252,0.705,0.043,0.015,0.955,0
0.25,0.516,0.234,0.081,0.668,0
0.082,0.095,0.823,0.482,0.406,0
0.029,0.585,0.386,0.261,0.632,0
0.496,0.448,0.055,0.855,0.141,0
0.913,0.028,0.059,0.563,0.421,0
0.364,0.537,0.099,0.1,0.804,0
0.44,0.168,0.392,0.271,0.599,0
0.086,0.789,0.125,0.592,0.379,0
0.766,0.131,0.103,0.738,0.244,0
0.131,0.845,0.024,0.033,0.86,1
0.706,0.164,0.131,0.711,0.277,0
0.905,0.071,0.024,0.167,0.629,0
0.818,0.061,0.12,0.553,0.388,0
0.002,0.924,0.074,0.258,0.531,0
0.173,0.781,0.047,0.698,0.297,0
0.323,0.409,0.268,0.504,0.371,0
0.928,0.061,0.011,0.746,0.157,0
0.602,0.089,0.309,0.386,0.564,0
0.682,0.27,0.047,0.538,0.363,0
0.232,0.571,0.196,0.324,0.501,2
0.049,0.478,0.473,0.034,0.428,0
0.388,0.51,0.102,0.548,0.352,0
0.127,0.797,0.075,0.651,0.313,0
0.819,0.152,0.029,0.607,0.346,0
0.298,0.306,0.396,0.379,0.394,0
0.063,0.673,0.264,0.231,0.488,1
0.924,0.019,0.057,0.497,0.465,0
0.468,0.489,0.043,0.505,0.344,0
0.118,0.705,0.177,0.175,0.792,0
0.275,0.703,0.021,0.009,0.976,0
0.386,0.595,0.02,0.007,0.974,0
0.748,0.207,0.045,0.208,0.769,0
0.154,0.748,0.099,0.584,0.289,0
0.682,0.251,0.068,0.806,0.19,0
0.719,0.225,0.056,0.876,0.12,0
0.927,0.009,0.064,0.607,0.316,0
0.126,0.833,0.042,0.039,0.88,1
0.142,0.768,0.089,0.677,0.249,0
0.405,0.459,0.136,0.179,0.67,1
0.818,0.156,0.026,0.486,0.437,0
0.008,0.169,0.823,0.003,0.069,0
0.052,0.608,0.339,0.117,0.796,0
0.335,0.589,0.077,0.332,0.569,1
0.688,0.174,0.138,0.766,0.127,0
0.783,0.122,0.095,0.748,0.237,0
0.585,0.286,0.129,0.586,0.39,0
0.17,0.031,0.799,0.068,0.295,2
0.028,0.707,0.264,0.494,0.035,2
0.471,0.275,0.253,0.094,0.793,0
0.258,0.61,0.132,0.063,0.857,2
0.527,0.276,0.197,0.438,0.456,0
0.533,0.393,0.074,0.341,0.528,1
0.627,0.34,0.034,0.382,0.488,1
