@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature33 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.027778,0,0,0,0,0,0,0.332187,0.351086,0.410187,0
0,0.00232,0,0,0,0,0,0,0.483683,0.523432,0.612526,0
0.003226,0.008602,0,0.001076,0,0,0,0,0.721671,0.779931,0.922685,2
0,0.006536,0,0,0,0,0,0,0.701453,0.753976,0.891070,2
0.00271,0.02439,0,0,0.002717,0.005435,0,0,0.412480,0.437165,0.509948,1
0,0.018182,0,0,0,0,0,0,0.299182,0.316637,0.362719,0
0,0.005155,0,0.002584,0,0.002584,0,0,0.465470,0.499536,0.584327,0
0.007326,0.014652,0,0.002445,0.003667,0.00489,0,0,0.614565,0.662622,0.781670,0
0,0,0,0,0,0,0,0,0.509234,0.545307,0.636515,0
0,0.008929,0,0,0,0,0,0,0.218639,0.222409,0.245220,0
0,0,0,0,0,0,0,0,0.341187,0.362024,0.413198,0
0,0.015674,0,0.003145,0,0.006289,0,0,0.473150,0.506735,0.591488,0
0,0.007634,0,0.001529,0.004587,0.001529,0,0,0.757688,0.819087,0.969041,0
0,0.051282,0,0.012987,0.012987,0.012987,0,0,0.565841,0.607128,0.712655,0
0,0.016556,0,0,0.003322,0.003322,0,0,0.343568,0.362103,0.413314,0
0,0,0,0,0,0,0,0,0.529973,0.569294,0.663913,0
0,0.01072,0,0.003067,0,0.003067,0,0,0.559844,0.600470,0.707446,0
0,0.005525,0,0.00277,0.00277,0.00277,0,0,0.688730,0.743248,0.878384,0
0,0.018018,0,0,0.009091,0.009091,0,0,0.633691,0.676258,0.796190,0
0,0.02583,0,0.003704,0.007407,0.007407,0,0,0.239528,0.244761,0.270743,1
0,0,0,0,0,0,0,0,0.475837,0.505593,0.593153,1
0,0.006182,0,0.003096,0.003096,0.001548,0,0,0.533677,0.573395,0.674440,0
0,0.001183,0,0,0,0,0,0,0.693923,0.749959,0.885607,1
0,0.04878,0,0.012346,0.012346,0.024691,0,0,0.590277,0.626598,0.738020,0
0,0.025271,0,0.007246,0.01087,0.007246,0,0,0.232929,0.232949,0.255736,0
0,0,0,0,0,0,0,0,0.208036,0.216329,0.239108,0
0,0.004367,0,0,0.002188,0,0,0,0.562559,0.604895,0.712088,0
0,0.001164,0,0,0.001166,0,0.001166,0,0.674802,0.727921,0.858682,1
0,0.020202,0,0,0,0,0,0,0.611721,0.655950,0.771008,0
0,0.026616,0,0,0.003817,0.01145,0,0,0.287626,0.297313,0.335257,0
0,0.033898,0,0,0,0.017241,0,0,0.425074,0.452301,0.531496,0
0,0.026263,0,0.006073,0.006073,0.008097,0,0,0.484078,0.517374,0.605220,0
0.002671,0.012467,0,0.000891,0.001783,0.004456,0,0,0.732831,0.791823,0.936428,1
0,0.048193,0,0,0.012195,0.02439,0,0,0.614649,0.652875,0.768902,0
0,0.003788,0,0,0,0,0,0,0.272626,0.280375,0.319775,0
0,0,0,0,0,0,0,0,0.048003,0.055097,0.042903,2
0,0.005348,0,0,0.001786,0,0,0,0.314015,0.337398,0.393445,2
0,0.001359,0,0,0.001361,0,0,0,0.698846,0.754337,0.891599,2
0,0.022989,0,0,0,0,0,0,0.509987,0.539198,0.631857,0
0,0.010417,0,0.003484,0.003484,0,0,0,0.245755,0.246346,0.271167,0
0,0.014286,0,0,0,0,0,0,0.432878,0.459692,0.536647,2
0,0.00692,0,0.001733,0.003466,0.001733,0,0,0.504195,0.541835,0.637011,1
0,0,0,0,0,0,0,0,0.668896,0.722630,0.852664,1
0,0.030769,0,0,0.015625,0.015625,0,0,0.487583,0.510531,0.596184,0
0,0.031802,0,0.007092,0.003546,0.014184,0,0,0.255833,0.256540,0.287366,0
0,0,0,0,0,0,0,0,0.358021,0.376151,0.433989,1
0,0.019337,0,0.00277,0.00831,0,0,0,0.398295,0.424589,0.495440,0
0.008117,0.001623,0,0,0,0,0,0,0.578106,0.623354,0.734412,0
0,0.011765,0,0,0.011905,0,0,0,0.406607,0.425447,0.493325,0
0,0.015936,0,0,0.004,0.004,0,0,0.271050,0.279413,0.314247,0
0,0.020619,0,0,0,0,0,0,0.548632,0.589627,0.691503,0
0,0.014327,0,0,0.005747,0,0,0,0.508733,0.543739,0.635984,0
0,0.004494,0,0,0.002252,0,0,0,0.772647,0.834919,0.987846,0
0,0,0,0,0,0,0,0,0.622135,0.671407,0.789181,0
0,0.042969,0,0.003922,0,0.019608,0,0,0.244100,0.249090,0.276265,0
0,0,0,0,0,0,0,0,0.318832,0.335280,0.380985,0
0.00409,0.01227,0,0,0.002049,0.002049,0,0,0.354922,0.377267,0.434105,0
0,0.002336,0,0,0.002342,0,0,0,0.747061,0.806575,0.953270,0
0,0,0,0,0,0,0,0,0.527197,0.559142,0.655972,0
0,0.020325,0,0,0.008163,0,0,0,0.212769,0.212266,0.229920,0
0,0,0,0,0,0,0,0,0.294270,0.304620,0.348118,0
0.007538,0.005025,0,0,0.002519,0,0,0,0.465444,0.499628,0.587839,0
0,0.006472,0,0.001621,0.003241,0,0,0,0.702807,0.759621,0.896968,0
0,0.022222,0,0,0.022472,0,0,0,0.597976,0.631338,0.741299,0
0,0.023881,0,0,0,0.002994,0,0,0.326638,0.338704,0.388175,0
0,0,0,0,0,0,0,0,0.304940,0.322716,0.373502,0
